area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
1433,273.0,167.0,313.0,213.0,294.0,190.0,1511.0,148.0,47.98,38.69,-1.29,147.3,142.33,0.0,0.06,0.92,0.93
349,278.0,323.0,301.0,341.0,290.0,332.0,367.0,150.0,25.32,17.85,0.16,70.87,69.87,0.0,0.06,0.94,0.94
611,279.0,299.0,310.0,322.0,294.0,312.0,638.0,151.0,33.91,23.38,0.18,96.28,93.96,0.0,0.07,0.93,0.94
541,292.0,221.0,315.0,250.0,303.0,237.0,556.0,153.0,31.88,21.88,1.09,87.6,85.73,0.0,0.06,0.93,0.93
177,294.0,344.0,309.0,357.0,302.0,350.0,186.0,154.0,16.8,13.71,0.04,48.38,48.55,0.15,0.28,0.91,0.92
177,301.0,365.0,317.0,377.0,310.0,371.0,183.0,155.0,17.46,13.19,0.13,48.38,48.55,0.0,0.05,0.94,0.95
91,313.0,262.0,327.0,269.0,320.0,265.0,97.0,156.0,15.32,7.56,0.22,36.14,36.95,0.0,0.12,0.94,0.95
329,318.0,191.0,339.0,211.0,327.0,201.0,343.0,158.0,21.97,19.64,-0.35,67.36,66.54,0.32,0.29,0.83,0.85
742,320.0,263.0,348.0,300.0,334.0,283.0,785.0,159.0,38.17,25.62,-1.26,109.5,106.49,0.01,0.11,0.93,0.93
201,324.0,239.0,338.0,256.0,331.0,249.0,211.0,162.0,18.04,14.59,-1.54,52.63,52.58,0.0,0.07,0.93,0.94
1080,325.0,361.0,366.0,397.0,344.0,381.0,1135.0,163.0,43.62,32.3,0.45,129.88,125.82,0.0,0.05,0.94,0.94
103,326.0,347.0,336.0,358.0,332.0,353.0,108.0,164.0,12.63,10.84,-0.92,36.73,37.5,0.0,0.06,0.91,0.92
3436,329.0,200.0,399.0,272.0,365.0,232.0,3582.0,165.0,73.39,61.79,-0.94,233.62,224.17,0.03,0.14,0.93,0.94
842,330.0,169.0,375.0,192.0,352.0,180.0,880.0,166.0,46.54,23.29,-0.02,117.5,114.08,0.25,0.25,0.93,0.94
61,335.0,332.0,344.0,340.0,340.0,336.0,66.0,167.0,9.51,8.39,0.39,27.56,28.81,0.0,0.08,0.85,0.87
182,366.0,346.0,384.0,358.0,375.0,352.0,194.0,169.0,19.9,12.05,0.26,51.8,51.79,0.0,0.06,0.91,0.92
72,373.0,189.0,382.0,197.0,378.0,192.0,75.0,173.0,11.0,8.54,0.56,29.9,31.03,0.0,0.06,0.95,0.95
65,375.0,164.0,383.0,173.0,379.0,168.0,68.0,174.0,10.6,7.93,1.16,28.14,29.36,0.0,0.08,0.91,0.93
171,384.0,257.0,395.0,277.0,389.0,267.0,180.0,176.0,21.59,10.21,1.21,52.63,52.58,0.0,0.08,0.92,0.93
