"area","col_centroid","convex_area","label","major_axis_length","max_col","max_row","min_col","min_row","minor_axis_length","orientation","perimeter","row_centroid","circularity","cloud_fraction","b1_reflectance_mean","b7_reflectance_mean","b2_reflectance_mean","b1_reflectance_bdry_mean","b1_bdry_contrast","b2_reflectance_bdry_mean","b2_bdry_contrast","candidate","solidity"
207,143.89371980676327,218.0,22,18.62255596114947,151,186,135,167,14.7568468850933,0.39087997035075106,60.18376618407357,175.82125603864733,0.7181604533772227,1.0,0.9049552,0.5856011,0.9050499,0.9015197276954798,0.003435480606064356,0.9015197276954798,0.003530192386612452,false,0.9495412844036697
489,151.4723926380368,513.0,24,27.31014928530492,162,223,139,196,23.54040592059979,-0.10441852233265789,90.66904755831214,210.42126789366054,0.7474817880769924,1.0,0.90644157,0.52053493,0.90742755,0.8563145529500426,0.050127016378265554,0.8563145529500426,0.051112996412140066,false,0.9532163742690059
228,152.78070175438597,232.0,25,22.446134314896376,160,171,145,150,13.212130974488467,-0.35193423836686494,60.526911934581186,160.93421052631578,0.7820736924017548,1.0,0.91446614,0.5774332,0.91642696,0.9128848128776477,0.0015813297767712786,0.9128848128776477,0.003542143775947304,false,0.9827586206896551
179,156.83240223463687,187.0,26,18.60574324489568,165,34,151,16,12.743810350542281,-0.13284503910141543,53.45584412271571,25.502793296089386,0.78717720838542,1.0,0.93145,0.5134407,0.92851436,0.9201620482903904,0.011287961055617912,0.9201620482903904,0.008352313091140373,false,0.9572192513368984
282,165.6241134751773,307.0,27,20.825842205631794,177,72,156,51,18.4151802079653,-1.5011109589429668,72.80508652763321,61.265957446808514,0.6685525161160701,1.0,0.92900914,0.51965004,0.93201286,0.9429493664787786,-0.013940226940967304,0.9429493664787786,-0.010936510472156269,false,0.9185667752442996
493,171.31440162271807,516.0,28,28.23410903475076,186,52,159,28,23.100089071495372,1.1471426952702926,89.59797974644665,40.16632860040568,0.7717210538240148,1.0,0.92695934,0.5207029,0.93259096,0.8977144380619981,0.029244897741987463,0.8977144380619981,0.034876523394300696,false,0.9554263565891473
1350,203.74814814814815,1906.0,30,100.9661930807513,241,87,166,28,22.524165974792673,-0.9644975447275522,236.6223663640862,58.44592592592593,0.30299261686974166,1.0,0.92594194,0.5910123,0.93177366,0.9061922135039235,0.019749730618390915,0.9061922135039235,0.025581449063215134,false,0.7082896117523609
506,192.40316205533597,549.0,31,36.28509893647966,209,150,173,130,18.419249101055932,1.4018368852317442,100.25483399593905,139.600790513834,0.6326299324917204,1.0,0.9113903,0.6467886,0.9212175,0.8853953064479378,0.02599499811749184,0.8853953064479378,0.03582219471554482,false,0.9216757741347905
141,196.95035460992906,142.0,32,17.555263275582476,205,400,189,390,10.830492974148363,1.5268424190023466,46.72792206135786,396.12056737588654,0.811476671126389,1.0,0.9066343,0.35516623,0.9113345,0.8646122770716327,0.04202199407323426,0.8646122770716327,0.04672223754628724,false,0.9929577464788732
142,205.21830985915494,142.0,33,15.252274557510702,212,159,198,147,11.918911182407014,-1.071361158409489,43.21320343559642,153.2887323943662,0.9555761110900106,1.0,0.9185592,0.6798944,0.9288878,0.8815759771110584,0.036983216500086624,0.8815759771110584,0.04731180736999019,false,1.0
185,221.30810810810812,187.0,35,25.429726499780568,233,78,209,68,9.430902644101232,-1.405932301249807,60.04163056034262,73.07027027027027,0.6448766269385321,1.0,0.92328656,0.65736014,0.934818,0.9042175360710316,0.019069021126539187,0.9042175360710316,0.03060049333265491,false,0.9893048128342246
605,243.61487603305784,631.0,37,31.430414033753607,260,224,231,193,25.547537778322134,-0.5885215573293043,101.49747468305833,207.9900826446281,0.7379972863619216,1.0,0.9112722,0.49771386,0.9143186,0.8699854930038844,0.04128673476024525,0.8699854930038844,0.04433312815471546,false,0.9587955625990491
